Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     6,A4,0:17:40-0:18:00,5.24796,52.1116,3,1.78,0,0,0,0,104.959,0.0957615,1849.89
LD KO,Trial     6,A4,0:18:00-0:18:20,7.30206,149.92,6,4.64,0,0,0,0,146.041,-0.212441,3887.68
LD KO,Trial     6,A5,0:15:00-0:15:20,4.93627,128.511,11,6.48,0,0,0,0,98.7255,-0.0738512,5995.92
LD KO,Trial     6,A5,0:15:20-0:15:40,2.46211,8.62225,1,20,0,0,0,0,49.1438,0.193361,366.495
LD KO,Trial     6,A5,0:15:40-0:16:00,3.68229,104.647,1,9.92,0,0,0,0,73.6458,0.408839,2162.7
LD KO,Trial     6,A5,0:16:00-0:16:20,6.89047,19.4604,0,0,0,0,0,0,137.809,-0.412195,745.166
LD KO,Trial     6,A5,0:16:20-0:16:40,4.83334,67.109,0,0,0,0,0,0,96.6669,0.0435628,3232.32
LD KO,Trial     6,A5,0:16:40-0:17:00,3.9979,91.0696,0,0,0,0,0,0,79.798,0.863828,2767.1
LD KO,Trial     6,A5,0:17:00-0:17:20,3.12449,55.2203,1,12.98,0,0,0,0,62.4899,-0.926286,2651.22
LD KO,Trial     6,A5,0:17:20-0:17:40,2.25914,26.8983,3,15.04,0,0,0,0,45.1827,-0.0125098,1054.8
LD KO,Trial     6,A5,0:17:40-0:18:00,2.2805,13.4878,27,2.24,0,0,0,0,45.61,0.199933,421.565
LD KO,Trial     6,A5,0:18:00-0:18:20,3.26897,46.8078,2,17.74,0,0,0,0,65.3794,-0.135196,1987.76
LD KO,Trial     6,B1,0:15:00-0:15:20,5.79053,97.529,1,1.1,0,0,0,0,115.811,-0.225956,3777.21
LD KO,Trial     6,B1,0:15:20-0:15:40,5.20737,35.9697,3,0.52,0,0,0,0,103.939,-0.111103,1383.31
LD KO,Trial     6,B1,0:15:40-0:16:00,4.5069,96.8395,0,0,0,0,0,0,90.138,-0.128043,3179.97
